defectId,severity,status,finding,downstreamGate,evidence
P1-CLOUD-001,P1,OPEN,crawl audited handoff source differs from integration in 88 crawl paths and 6/6 Notebook bytes,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-002,P1,OPEN,current-run exact-one authority is A1 5/5 but downstream 0/18,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-003,P1,OPEN,"immutable release HANDOFF lacks head, source Notebook SHA and validator artifact SHA",BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-004,P1,OPEN,pipeline does not consume ActivityText fallback contract/evidence fields,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-005,P1,OPEN,canonical export has invalid postingKind 137 and canonicalPostedAt null 137,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-006,P1,OPEN,p4.observed-dev.duckdb is absent; p4.development.duckdb is only a 6-row fixture,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-007,P1,OPEN,55 eligible tracks yield 28 decision rows; level/band propagated rows are 0,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-008,P1,OPEN,"HUMAN_GOLD, dual coding and adjudication counts are 0",BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-009,P1,OPEN,29 raw bytes are untracked local authority and unavailable in Git-only worktree,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-010,P1,OPEN,NCS corpus manifest lacks parserVersion; duty bridge and Work24 crosswalk have 0 rows,BLOCKED,see reconciliation/lineage/crawl/NCS audit
P1-CLOUD-011,P1,OPEN,canonical requirement facts 35 differ from v4 recovered facts 41,BLOCKED,see reconciliation/lineage/crawl/NCS audit
