stageId,gateId,status,evidence,runId
M1.5-P,NCS_API_CONTRACT_PROBED,NOT_EVALUATED,credential/network not used; synthetic fixtures only,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-P,WORK24_API_CONTRACT_PROBED,NOT_EVALUATED,credential/network not used; synthetic fixtures only,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-P,API_ERROR_CONTRACT_READY,PASS,8 success/empty/auth/parameter fixtures; parser tests PASS,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-P,API_SECRET_LOGGING_ZERO,PASS,redaction and negative-path tests PASS,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-0,OBSERVED_SNAPSHOT_FROZEN,PASS_WITH_FINDINGS,isolated observed replay built; not production authority,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-0,MASTER_ORCHESTRATION_PATCHED,PASS,topological current-run plan tests PASS,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-0,VALIDATOR_FAIL_CLOSED,PASS,negative-path control tests PASS,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-0,CURRENT_RUN_ARTIFACT_BOUND,PASS,single-manifest and blob provenance tests PASS,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-0,RUNTIME_DEPENDENCIES_LOCKED,PASS,integration venv exact lock validated,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-A,TIME_SEMANTICS_READY,BLOCKED,authoritative coverage 29/137 < 0.98,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-A,CANONICAL_ENUM_READY,PASS,invalid postingKind/requirementType/obligation = 0,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-A,RAW_LINEAGE_READY,BLOCKED,declared/physical raw mismatch = 18,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-A,DETERMINISTIC_SEMANTIC_BASE_READY,PASS_WITH_FINDINGS,deterministic no-imputation implementation and replay complete,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-B,OCR_PILOT_READY,NOT_EVALUATED,Linkareer-hosted asset bytes = 0,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-B,SOURCE_BLOCK_READY,PASS,source blocks=84; FK orphan=0,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-B,SECTION_STRUCTURE_PILOT_READY,PASS,semantic chunks=277; FK orphan=0,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-B,OCR_MAPPING_ELIGIBILITY_READY,PASS,OCR-ineligible accepted mappings=0,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-C,REFERENCE_SCHEMA_READY,BLOCKED,implementation tests PASS; dependency stages blocked,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-C,LLM_AGENT_RUNTIME_READY,BLOCKED,no pinned model/prompt runtime evidence,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-C,PROMPT_MODEL_REGISTRY_READY,BLOCKED,no approved model/prompt artifact,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-C,LLM_REFERENCE_PILOT_READY,BLOCKED,no LLM_REFERENCE_FROZEN sample,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-D,NCS_CANONICAL_CORPUS_READY,BLOCKED,candidate manifest built; bridge/crosswalk absent; dependencies blocked,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-D,NCS_RETRIEVAL_BENCHMARK_READY,BLOCKED,implementation tests PASS; no fixed real benchmark/reference,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-D,CALIBRATION_READY,BLOCKED,no 2025 reference labels; zero-row artifact is NOT_EVALUATED,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-D,SELECTIVE_PREDICTION_READY,BLOCKED,implementation tests PASS; no fitted calibration model,M1_5_V4_IMPLEMENTATION_20260806_01
M1.5-D,TEMPORAL_AUDIT_FRAME_READY,BLOCKED,split policy tests PASS; no reference rows,M1_5_V4_IMPLEMENTATION_20260806_01
